department,quarter,no_of_workers,defects_day,Total_Produced
Gloves,Quarter2,90.3,6.1,981.1
Gloves,Quarter2,66.4,8.8,712.8
Gloves,Quarter4,62.1,0.7,558.2
T-Shirt,Quarter4,63.1,9.3,350.7
T-Shirt,Quarter3,28.0,5.0,209.0
T-Shirt,Quarter4,53.3,4.5,315.3
Gloves,Quarter1,90.3,5.6,807.1
Gloves,Quarter1,75.6,6.9,584.1
Sweatshirt,Quarter2,12.0,9.2,20.4
T-Shirt,Quarter4,17.1,9.6,83.4
T-Shirt,Quarter2,52.3,5.8,406.8
Gloves,Quarter2,45.4,9.0,354.2
Sweatshirt,Quarter3,33.4,9.7,157.3
Sweatshirt,Quarter4,43.8,4.3,210.4
Gloves,Quarter3,61.0,7.9,472.2
T-Shirt,Quarter1,62.1,9.6,363.0
T-Shirt,Quarter1,30.4,0.4,242.4
T-Shirt,Quarter4,19.3,4.4,145.6
Sweatshirt,Quarter1,10.3,9.3,32.9
T-Shirt,Quarter2,11.1,4.8,63.3
T-Shirt,Quarter1,63.3,2.7,435.0
Sweatshirt,Quarter1,25.6,8.5,85.4
Gloves,Quarter2,74.9,3.4,738.8
Sweatshirt,Quarter4,38.7,4.7,179.4
T-Shirt,Quarter1,81.2,8.2,625.0
Sweatshirt,Quarter2,31.2,5.8,107.4
Gloves,Quarter1,52.7,7.6,572.1
Gloves,Quarter2,22.8,9.2,241.6
Gloves,Quarter1,94.3,0.8,847.9
Gloves,Quarter3,26.9,2.5,210.2
T-Shirt,Quarter4,95.6,1.1,859.3
Gloves,Quarter2,17.5,4.0,136.0
Sweatshirt,Quarter4,20.7,6.1,70.6
T-Shirt,Quarter4,99.1,5.4,787.4
T-Shirt,Quarter4,60.4,9.0,456.2
Sweatshirt,Quarter3,90.3,7.2,617.7
Sweatshirt,Quarter1,58.6,8.4,276.2
Gloves,Quarter4,67.3,4.7,529.0
Sweatshirt,Quarter2,71.0,9.0,337.0
Gloves,Quarter3,62.6,8.6,662.8
Gloves,Quarter3,58.3,7.6,443.6
Gloves,Quarter3,22.2,5.2,184.2
T-Shirt,Quarter3,52.6,5.9,356.4
T-Shirt,Quarter2,46.4,4.0,320.8
T-Shirt,Quarter4,71.7,1.0,570.6
Gloves,Quarter4,57.6,2.0,456.8
Gloves,Quarter1,28.3,8.9,265.2
T-Shirt,Quarter3,13.6,4.3,86.6
Gloves,Quarter3,39.3,8.2,376.6
Sweatshirt,Quarter4,71.4,7.5,342.0
T-Shirt,Quarter3,33.2,4.5,190.2
Gloves,Quarter3,55.0,4.2,541.6
Sweatshirt,Quarter4,57.1,3.7,224.7
T-Shirt,Quarter1,53.5,1.1,424.7
Sweatshirt,Quarter3,45.8,0.5,320.1
Gloves,Quarter1,10.9,6.7,91.4
T-Shirt,Quarter4,89.9,1.0,808.1
Sweatshirt,Quarter1,52.2,3.0,356.4
T-Shirt,Quarter2,16.2,9.3,136.5
T-Shirt,Quarter2,50.0,8.3,383.4
Gloves,Quarter1,13.7,1.0,147.7
Gloves,Quarter1,28.2,6.7,296.8
Gloves,Quarter1,64.0,1.7,510.3
T-Shirt,Quarter3,28.3,0.8,168.2
T-Shirt,Quarter1,57.5,1.9,458.1
T-Shirt,Quarter1,61.6,9.3,526.5
T-Shirt,Quarter3,11.8,9.3,66.5
T-Shirt,Quarter1,85.2,6.2,590.2
Sweatshirt,Quarter2,96.4,0.4,673.6
Sweatshirt,Quarter2,84.3,0.6,336.0
Gloves,Quarter4,57.4,4.9,506.8
T-Shirt,Quarter1,49.0,9.0,365.0
Sweatshirt,Quarter4,55.0,2.0,328.0
T-Shirt,Quarter2,90.4,4.4,529.2
Sweatshirt,Quarter1,69.7,3.1,478.6
Sweatshirt,Quarter4,32.4,5.0,157.0
T-Shirt,Quarter4,46.5,1.3,321.6
T-Shirt,Quarter1,62.5,5.6,488.8
T-Shirt,Quarter4,88.9,3.4,707.8
T-Shirt,Quarter2,64.0,2.3,569.1
Gloves,Quarter2,92.5,6.8,818.9
Sweatshirt,Quarter4,26.3,3.2,174.5
Gloves,Quarter1,94.7,1.7,848.9
T-Shirt,Quarter3,35.0,4.4,236.2
Sweatshirt,Quarter1,55.4,6.9,374.0
Gloves,Quarter2,29.2,5.3,281.4
T-Shirt,Quarter4,36.2,8.3,236.8
Gloves,Quarter1,63.2,8.0,544.8
Sweatshirt,Quarter3,13.0,9.4,68.6
Sweatshirt,Quarter1,14.6,1.1,71.9
Sweatshirt,Quarter2,11.5,4.3,53.2
Sweatshirt,Quarter3,22.7,7.8,120.6
Gloves,Quarter1,14.1,8.0,133.0
Gloves,Quarter2,74.7,4.0,739.0
Sweatshirt,Quarter3,68.7,9.3,265.5
Sweatshirt,Quarter2,94.4,4.0,373.6
Sweatshirt,Quarter2,73.1,4.4,356.7
Gloves,Quarter2,69.0,4.2,547.8
Gloves,Quarter4,92.1,1.3,918.4
T-Shirt,Quarter4,53.9,5.5,474.1
T-Shirt,Quarter4,90.3,8.6,804.1
T-Shirt,Quarter1,47.1,6.9,403.2
Sweatshirt,Quarter3,18.0,8.3,99.7
T-Shirt,Quarter4,36.1,9.0,207.6
T-Shirt,Quarter1,47.1,9.3,396.0
Sweatshirt,Quarter1,13.4,5.5,88.3
Gloves,Quarter3,71.0,8.7,772.3
T-Shirt,Quarter1,57.0,7.5,498.0
T-Shirt,Quarter2,55.7,9.4,491.9
Gloves,Quarter1,48.7,4.1,377.3
Sweatshirt,Quarter4,46.2,6.2,264.8
Sweatshirt,Quarter4,57.1,4.5,272.0
Gloves,Quarter4,42.2,6.6,402.2
Gloves,Quarter3,49.0,8.3,514.1
Gloves,Quarter3,18.7,8.2,141.4
T-Shirt,Quarter4,55.8,6.1,316.5
Gloves,Quarter2,69.4,1.4,553.8
Sweatshirt,Quarter1,33.6,4.2,193.2
T-Shirt,Quarter1,54.0,0.6,376.2
T-Shirt,Quarter2,82.8,6.6,655.8
T-Shirt,Quarter1,10.2,2.8,65.8
Gloves,Quarter1,76.6,6.2,759.8
Gloves,Quarter1,95.1,8.4,1020.9
Gloves,Quarter4,56.6,4.7,495.3
Sweatshirt,Quarter3,61.8,2.9,426.8
Sweatshirt,Quarter4,11.4,1.7,63.3
Sweatshirt,Quarter1,97.8,3.8,379.8
T-Shirt,Quarter1,66.2,8.1,587.7
T-Shirt,Quarter4,24.6,6.4,128.4
Sweatshirt,Quarter2,38.8,4.1,259.3
Gloves,Quarter4,14.6,6.2,142.0
Sweatshirt,Quarter2,42.8,5.8,288.0
Sweatshirt,Quarter4,35.5,1.7,211.3
Sweatshirt,Quarter3,17.1,3.4,78.7
Gloves,Quarter1,97.5,2.0,973.0
Sweatshirt,Quarter2,49.5,5.1,281.7
Gloves,Quarter1,64.1,5.7,629.6
Sweatshirt,Quarter4,86.7,3.4,600.1
Sweatshirt,Quarter4,28.8,3.8,132.6
Sweatshirt,Quarter3,37.5,0.5,149.5
T-Shirt,Quarter2,84.1,7.5,650.3
Sweatshirt,Quarter1,29.1,0.5,173.1
Gloves,Quarter4,43.8,6.3,337.8
Sweatshirt,Quarter2,71.8,6.1,484.3
Sweatshirt,Quarter4,41.0,5.9,146.3
T-Shirt,Quarter1,67.1,3.4,597.1
Sweatshirt,Quarter2,65.6,9.5,318.5
Sweatshirt,Quarter4,75.3,4.9,291.4
T-Shirt,Quarter2,33.0,0.3,263.7
Gloves,Quarter1,77.8,3.7,696.5
T-Shirt,Quarter4,23.6,6.1,135.5
Sweatshirt,Quarter2,64.5,0.2,451.1
Sweatshirt,Quarter2,35.8,0.5,141.7
Gloves,Quarter2,18.0,6.6,124.2
Sweatshirt,Quarter2,68.0,3.0,467.0
Gloves,Quarter2,21.1,2.8,166.0
Sweatshirt,Quarter4,75.7,7.2,447.0
Gloves,Quarter3,23.9,8.9,188.4
T-Shirt,Quarter3,34.1,3.0,232.7
Gloves,Quarter2,69.6,6.1,689.9
Gloves,Quarter1,21.8,4.8,213.2
T-Shirt,Quarter2,86.1,4.8,679.2
T-Shirt,Quarter1,49.6,1.6,393.6
Sweatshirt,Quarter2,35.8,3.0,173.0
Gloves,Quarter1,80.4,7.5,869.4
T-Shirt,Quarter4,70.4,0.4,491.6
Sweatshirt,Quarter4,49.0,5.3,332.4
Gloves,Quarter1,26.6,0.8,263.6
T-Shirt,Quarter1,85.7,4.2,587.3
Gloves,Quarter2,54.4,8.5,572.9
Sweatshirt,Quarter3,61.5,7.4,238.6
Sweatshirt,Quarter2,80.8,1.0,563.6
T-Shirt,Quarter4,20.3,8.4,96.6
Sweatshirt,Quarter4,14.8,1.4,87.4
Gloves,Quarter2,22.2,7.2,156.0
Gloves,Quarter2,46.1,3.2,408.5
T-Shirt,Quarter1,84.2,9.1,739.6
Gloves,Quarter4,33.4,3.2,297.4
Gloves,Quarter3,65.5,6.4,714.1
T-Shirt,Quarter3,75.2,0.4,450.0
T-Shirt,Quarter2,38.3,1.1,343.6
Sweatshirt,Quarter2,54.9,3.5,267.5
Sweatshirt,Quarter3,68.9,0.1,482.2
Gloves,Quarter2,28.5,7.0,249.5
Sweatshirt,Quarter4,76.5,6.5,529.0
T-Shirt,Quarter4,23.3,2.6,207.1
Gloves,Quarter4,79.2,8.2,775.6
T-Shirt,Quarter4,90.7,0.7,814.9
Sweatshirt,Quarter3,35.8,3.4,133.0
Gloves,Quarter2,35.7,0.9,319.5
Gloves,Quarter1,20.6,9.1,178.7
Gloves,Quarter2,83.4,6.3,815.1
Gloves,Quarter2,10.6,9.7,96.3
Gloves,Quarter3,59.9,6.8,525.5
T-Shirt,Quarter1,43.4,0.3,346.3
T-Shirt,Quarter2,74.2,7.8,660.0
T-Shirt,Quarter2,99.3,9.1,577.6
T-Shirt,Quarter1,67.2,8.9,595.9
Gloves,Quarter3,78.1,6.3,696.6
Gloves,Quarter4,89.0,2.4,976.6
Sweatshirt,Quarter2,85.8,1.1,426.8
Gloves,Quarter2,38.3,8.7,365.6
T-Shirt,Quarter2,48.8,6.6,335.0
T-Shirt,Quarter3,18.2,1.8,158.4
T-Shirt,Quarter3,60.4,2.6,480.6
T-Shirt,Quarter2,93.0,1.6,740.8
T-Shirt,Quarter3,59.9,3.0,476.2
Gloves,Quarter3,99.0,8.1,775.8
T-Shirt,Quarter1,13.2,2.8,113.2
T-Shirt,Quarter4,74.7,1.9,593.8
Sweatshirt,Quarter4,68.5,0.9,340.7
Sweatshirt,Quarter3,97.9,7.4,384.2
T-Shirt,Quarter3,87.9,7.2,608.1
Gloves,Quarter4,79.0,7.7,845.9
Gloves,Quarter2,95.4,0.7,761.1
Sweatshirt,Quarter1,37.1,1.0,219.6
Sweatshirt,Quarter4,56.7,8.3,218.5
Gloves,Quarter2,85.1,7.4,758.5
Gloves,Quarter2,69.5,9.4,546.6
T-Shirt,Quarter4,31.8,8.3,246.1
T-Shirt,Quarter2,41.5,1.3,246.4
Sweatshirt,Quarter4,25.0,3.7,163.9
T-Shirt,Quarter4,83.2,7.8,741.0
T-Shirt,Quarter2,10.6,8.7,76.1
Sweatshirt,Quarter2,84.6,9.4,488.8
T-Shirt,Quarter4,36.1,8.8,226.3
Gloves,Quarter3,82.3,2.7,738.0
T-Shirt,Quarter1,58.8,4.2,520.8
Sweatshirt,Quarter1,63.7,1.5,317.0
T-Shirt,Quarter4,59.1,9.3,504.0
Sweatshirt,Quarter2,69.9,9.3,461.4
T-Shirt,Quarter3,82.6,5.7,489.9
Gloves,Quarter3,59.4,8.5,449.7
Sweatshirt,Quarter4,22.8,0.2,159.0
Gloves,Quarter4,91.2,7.8,797.4
T-Shirt,Quarter3,19.9,7.1,125.1
Gloves,Quarter2,42.6,5.8,462.8
Gloves,Quarter2,42.1,6.1,414.9
Sweatshirt,Quarter3,10.2,0.4,60.0
T-Shirt,Quarter1,69.3,4.8,475.5
Gloves,Quarter2,80.9,6.7,788.9
Gloves,Quarter2,80.7,5.7,714.9
Gloves,Quarter3,89.5,0.0,805.5
T-Shirt,Quarter4,83.8,6.5,734.7
T-Shirt,Quarter1,44.8,6.7,262.1
Sweatshirt,Quarter2,26.1,5.4,93.6
Gloves,Quarter4,53.3,8.6,560.5
T-Shirt,Quarter3,34.9,4.2,201.0
Sweatshirt,Quarter3,42.1,3.5,284.2
Gloves,Quarter4,87.6,8.9,674.1
Gloves,Quarter1,47.1,8.0,415.9
T-Shirt,Quarter4,90.4,9.1,515.1
Gloves,Quarter4,50.9,0.9,508.1
T-Shirt,Quarter3,31.9,8.0,175.4
Gloves,Quarter4,89.8,8.4,791.4
T-Shirt,Quarter1,49.0,4.7,436.3
Sweatshirt,Quarter1,34.9,0.4,138.8
Sweatshirt,Quarter3,13.4,6.1,48.7
Sweatshirt,Quarter1,56.1,4.3,388.4
Gloves,Quarter2,93.5,4.1,743.9
Gloves,Quarter4,32.1,5.0,283.9
Gloves,Quarter3,36.8,7.7,344.9
Sweatshirt,Quarter2,10.8,8.0,48.8
Sweatshirt,Quarter2,78.2,4.8,298.4
Gloves,Quarter2,34.3,8.8,325.4
T-Shirt,Quarter4,29.8,7.9,155.1
Gloves,Quarter4,18.8,2.3,145.8
Sweatshirt,Quarter1,39.0,2.4,153.6
Sweatshirt,Quarter4,75.0,6.3,362.4
Gloves,Quarter3,63.7,9.5,563.8
T-Shirt,Quarter2,76.8,1.8,459.0
Sweatshirt,Quarter3,78.8,2.3,387.1
Sweatshirt,Quarter2,32.5,4.1,186.8
T-Shirt,Quarter3,50.6,6.2,436.8
Sweatshirt,Quarter4,70.3,7.9,406.0
T-Shirt,Quarter2,24.7,6.6,191.0
Gloves,Quarter4,66.0,0.9,658.2
Sweatshirt,Quarter4,67.0,6.8,321.4
Gloves,Quarter2,90.1,5.1,895.9
Sweatshirt,Quarter4,29.1,6.1,162.4
Gloves,Quarter4,67.4,4.8,664.4
Sweatshirt,Quarter2,79.7,6.4,551.5
Sweatshirt,Quarter2,15.2,9.6,51.2
T-Shirt,Quarter1,93.9,3.9,833.4
Sweatshirt,Quarter2,89.3,0.2,535.2
T-Shirt,Quarter2,33.6,6.2,222.8
Sweatshirt,Quarter3,39.6,0.2,197.4
T-Shirt,Quarter3,63.9,7.1,504.1
Sweatshirt,Quarter2,68.2,5.3,403.9
T-Shirt,Quarter1,22.2,4.8,128.4
Gloves,Quarter2,64.1,4.4,508.4
Sweatshirt,Quarter2,14.1,1.0,96.7
Gloves,Quarter2,61.5,7.4,669.1
Sweatshirt,Quarter3,87.3,2.4,516.6
T-Shirt,Quarter1,61.3,6.6,415.9
Gloves,Quarter1,21.4,5.2,230.2
T-Shirt,Quarter2,68.6,8.8,471.4
T-Shirt,Quarter4,84.5,1.3,503.1
Gloves,Quarter4,57.2,5.4,613.0
Sweatshirt,Quarter4,50.0,4.2,191.6
Gloves,Quarter1,44.2,8.9,433.1
Sweatshirt,Quarter3,97.1,2.7,385.7
Gloves,Quarter4,68.4,8.9,529.4
Sweatshirt,Quarter3,69.2,4.4,475.6
Sweatshirt,Quarter2,39.6,3.6,270.0
Gloves,Quarter2,91.5,3.3,1003.2
Gloves,Quarter4,77.4,2.9,765.3
Sweatshirt,Quarter3,25.9,8.9,111.7
T-Shirt,Quarter3,18.3,4.5,96.3
T-Shirt,Quarter3,29.8,1.0,236.4
Sweatshirt,Quarter2,95.1,6.1,558.4
T-Shirt,Quarter1,45.3,5.9,311.2
Gloves,Quarter2,12.4,1.4,133.6
T-Shirt,Quarter1,15.9,4.2,102.9
T-Shirt,Quarter4,85.6,1.2,768.0
Sweatshirt,Quarter1,40.2,7.9,177.3
Gloves,Quarter3,71.9,1.7,717.3
Gloves,Quarter1,56.2,0.6,447.8
T-Shirt,Quarter4,51.5,2.6,301.2
T-Shirt,Quarter1,54.4,9.9,306.6
Sweatshirt,Quarter4,84.0,5.2,404.4
Sweatshirt,Quarter1,31.4,1.3,121.7
Gloves,Quarter3,27.4,9.3,282.8
Gloves,Quarter3,25.5,4.5,195.0
Gloves,Quarter4,94.8,6.8,927.6
Gloves,Quarter3,26.4,6.0,225.6
Gloves,Quarter2,55.1,7.3,543.7
Gloves,Quarter3,21.2,3.3,163.0
T-Shirt,Quarter3,56.5,9.8,488.9
T-Shirt,Quarter3,11.9,7.4,68.5
T-Shirt,Quarter4,73.8,6.0,658.2
Gloves,Quarter1,88.4,6.1,865.7
Gloves,Quarter2,43.8,9.5,365.7
Sweatshirt,Quarter3,90.5,0.2,633.1
T-Shirt,Quarter1,63.7,1.4,570.5
Sweatshirt,Quarter2,97.2,8.2,558.6
T-Shirt,Quarter1,52.5,3.3,413.4
Gloves,Quarter1,80.6,3.2,635.2
Gloves,Quarter4,69.1,4.4,755.7
T-Shirt,Quarter4,63.5,8.3,364.4
T-Shirt,Quarter1,20.2,1.2,139.0
T-Shirt,Quarter4,13.7,0.1,82.0
Gloves,Quarter1,36.7,7.4,322.9
T-Shirt,Quarter1,99.4,6.0,789.2
T-Shirt,Quarter4,40.1,4.0,232.6
T-Shirt,Quarter3,84.6,0.6,590.4
Sweatshirt,Quarter2,30.2,6.2,138.6
Gloves,Quarter2,82.6,8.5,809.0
Gloves,Quarter1,66.0,1.8,522.6
T-Shirt,Quarter1,91.1,8.2,803.5
Sweatshirt,Quarter2,16.5,1.9,93.3
Gloves,Quarter3,32.5,0.4,323.8
T-Shirt,Quarter3,40.8,0.9,365.4
Sweatshirt,Quarter4,69.9,6.5,273.1
Gloves,Quarter4,50.9,1.8,405.4
Sweatshirt,Quarter3,64.1,2.0,318.5
T-Shirt,Quarter2,28.4,2.8,164.8
Sweatshirt,Quarter1,19.9,0.4,78.8
Sweatshirt,Quarter4,39.1,5.8,217.2
Gloves,Quarter2,90.1,2.2,718.6
Gloves,Quarter1,86.1,7.6,931.9
Gloves,Quarter2,51.2,0.3,562.9
T-Shirt,Quarter3,70.7,5.4,560.2
Sweatshirt,Quarter3,52.9,4.5,365.8
Sweatshirt,Quarter1,70.4,7.9,344.1
Gloves,Quarter4,93.9,1.2,842.7
Gloves,Quarter3,68.6,4.0,540.8
Sweatshirt,Quarter1,82.8,0.0,579.6
T-Shirt,Quarter3,47.4,0.8,283.6
Gloves,Quarter3,60.7,3.9,534.6
T-Shirt,Quarter1,50.1,6.3,444.6
Gloves,Quarter2,57.3,2.4,565.8
T-Shirt,Quarter3,17.9,8.1,83.1
T-Shirt,Quarter1,96.8,4.7,765.0
T-Shirt,Quarter1,24.6,2.3,143.0
Gloves,Quarter1,92.2,2.3,827.5
Gloves,Quarter3,54.8,8.8,576.4
Sweatshirt,Quarter1,45.3,0.4,180.8
Gloves,Quarter1,49.0,3.5,381.5
T-Shirt,Quarter3,51.6,0.7,412.1
T-Shirt,Quarter1,52.3,0.5,470.2
Gloves,Quarter1,82.2,8.6,714.0
T-Shirt,Quarter3,37.4,1.7,256.7
Sweatshirt,Quarter1,46.4,1.2,323.6
Sweatshirt,Quarter3,71.5,7.1,421.9
T-Shirt,Quarter2,72.1,3.9,424.8
T-Shirt,Quarter1,97.4,6.8,765.6
T-Shirt,Quarter1,66.5,8.2,449.1
T-Shirt,Quarter4,27.1,6.5,203.8
Gloves,Quarter4,33.2,9.7,246.2
Sweatshirt,Quarter4,12.6,1.6,83.4
Gloves,Quarter2,78.0,9.3,596.1
Gloves,Quarter2,34.7,9.1,363.5
T-Shirt,Quarter4,56.5,6.8,431.6
T-Shirt,Quarter4,26.2,1.4,182.0
Gloves,Quarter3,21.7,3.1,164.3
Gloves,Quarter1,67.6,8.8,532.0
Sweatshirt,Quarter4,34.3,5.7,131.5
T-Shirt,Quarter3,72.3,1.4,431.0
Gloves,Quarter3,91.7,0.8,824.5
T-Shirt,Quarter1,92.4,6.4,732.8
Gloves,Quarter2,32.6,7.2,351.4
Gloves,Quarter3,67.5,7.4,525.2
T-Shirt,Quarter4,74.6,8.7,570.7
T-Shirt,Quarter4,11.7,5.5,59.2
Sweatshirt,Quarter2,64.5,9.3,294.6
Gloves,Quarter4,22.4,6.3,227.5
Sweatshirt,Quarter4,74.6,2.5,445.1
Sweatshirt,Quarter3,10.3,9.2,33.1
Gloves,Quarter2,32.6,5.4,282.6
Sweatshirt,Quarter4,43.2,7.5,244.2
Sweatshirt,Quarter1,79.1,1.0,550.7
Sweatshirt,Quarter2,94.1,9.8,347.0
T-Shirt,Quarter1,50.4,3.4,292.2
Gloves,Quarter2,52.8,7.9,520.1
T-Shirt,Quarter4,35.6,9.3,230.6
T-Shirt,Quarter2,40.6,3.5,236.6
Sweatshirt,Quarter3,95.0,4.8,560.4
T-Shirt,Quarter3,10.5,6.4,81.7
Sweatshirt,Quarter3,64.0,2.3,379.4
Sweatshirt,Quarter4,60.9,6.1,420.2
Sweatshirt,Quarter1,58.9,2.9,288.7
Sweatshirt,Quarter2,64.8,2.6,445.8
T-Shirt,Quarter1,98.7,7.1,578.0
T-Shirt,Quarter4,84.2,2.0,753.8
Gloves,Quarter4,38.1,9.5,276.3
Gloves,Quarter4,10.9,1.3,95.5
Sweatshirt,Quarter1,38.5,5.8,219.4
Sweatshirt,Quarter2,26.4,2.9,96.9
Sweatshirt,Quarter4,80.1,1.4,479.2
Sweatshirt,Quarter4,15.6,2.2,107.0
Gloves,Quarter1,74.0,7.5,651.0
Gloves,Quarter3,25.7,5.3,226.0
T-Shirt,Quarter1,78.0,4.0,612.0
Gloves,Quarter1,87.1,5.9,685.0
Gloves,Quarter2,83.5,0.6,916.7
Gloves,Quarter1,11.1,5.8,71.4
T-Shirt,Quarter2,86.7,1.3,779.0
Gloves,Quarter1,61.8,3.8,606.6
Gloves,Quarter2,22.9,3.1,177.0
Gloves,Quarter1,64.1,4.5,636.5
Gloves,Quarter3,51.0,7.9,553.1
T-Shirt,Quarter3,99.1,1.1,690.4
Sweatshirt,Quarter2,18.4,3.5,106.9
Sweatshirt,Quarter3,90.7,5.2,629.7
Gloves,Quarter4,46.2,3.4,405.6
Sweatshirt,Quarter3,39.7,0.8,157.2
Sweatshirt,Quarter2,82.9,9.6,561.1
Sweatshirt,Quarter2,86.7,3.5,423.0
Gloves,Quarter4,70.9,7.1,631.0
Sweatshirt,Quarter2,90.8,3.8,450.2
Sweatshirt,Quarter3,92.2,6.1,534.9
Gloves,Quarter3,15.5,9.9,135.2
Gloves,Quarter1,24.1,2.1,234.7
Sweatshirt,Quarter2,99.8,7.0,385.2
Sweatshirt,Quarter3,55.1,5.0,320.6
Gloves,Quarter2,58.5,7.4,577.6
Gloves,Quarter4,34.7,2.3,340.1
Gloves,Quarter4,50.8,2.0,402.4
T-Shirt,Quarter3,95.6,9.5,755.3
Sweatshirt,Quarter2,73.3,3.9,432.0
T-Shirt,Quarter1,77.7,0.1,621.4
Sweatshirt,Quarter2,68.6,1.8,409.8
T-Shirt,Quarter1,11.7,3.1,78.8
Gloves,Quarter4,92.2,4.1,729.4
Gloves,Quarter1,16.5,3.4,141.7
T-Shirt,Quarter3,81.8,8.3,646.1
T-Shirt,Quarter2,10.8,8.3,59.0
Sweatshirt,Quarter3,28.3,4.3,193.8
T-Shirt,Quarter4,61.0,8.3,479.7
Gloves,Quarter3,43.6,8.3,427.7
Sweatshirt,Quarter4,54.0,9.9,260.1
T-Shirt,Quarter4,33.2,2.7,260.2
Sweatshirt,Quarter2,61.2,0.5,243.8
Gloves,Quarter4,76.9,9.8,605.4
Gloves,Quarter3,41.7,5.6,364.1
T-Shirt,Quarter3,48.2,3.0,331.4
Sweatshirt,Quarter2,76.4,2.7,529.4
T-Shirt,Quarter2,77.7,0.7,464.8
T-Shirt,Quarter1,72.6,7.6,630.6
Sweatshirt,Quarter1,13.0,1.3,63.7
Gloves,Quarter2,52.3,6.3,504.1
Sweatshirt,Quarter3,42.5,4.1,204.3
T-Shirt,Quarter3,91.9,7.1,713.9
Sweatshirt,Quarter2,79.5,4.3,305.1
T-Shirt,Quarter1,29.5,5.4,249.3
Gloves,Quarter4,76.5,4.8,602.4
Sweatshirt,Quarter3,30.7,3.7,149.8
Gloves,Quarter3,58.0,4.2,575.8
Gloves,Quarter4,69.7,8.0,758.7
Sweatshirt,Quarter4,51.2,6.5,294.2
T-Shirt,Quarter4,33.7,6.4,296.9
Sweatshirt,Quarter4,36.4,0.7,217.0
Sweatshirt,Quarter2,31.3,7.2,103.6
Gloves,Quarter4,57.8,7.2,556.4
T-Shirt,Quarter4,82.2,2.8,484.8
Sweatshirt,Quarter4,60.4,9.9,352.5
Gloves,Quarter2,17.1,1.8,184.5
Sweatshirt,Quarter2,52.8,8.4,247.2
Sweatshirt,Quarter2,45.4,0.5,316.3
Sweatshirt,Quarter4,33.6,4.8,225.6
Gloves,Quarter2,93.0,5.3,1012.4
T-Shirt,Quarter4,14.7,8.8,114.7
T-Shirt,Quarter4,50.4,1.2,402.0
T-Shirt,Quarter2,28.6,6.8,158.0
Sweatshirt,Quarter4,90.8,9.7,343.8
Sweatshirt,Quarter3,23.1,4.8,105.9
Sweatshirt,Quarter3,94.8,0.5,472.5
Gloves,Quarter3,42.8,9.2,400.4
Gloves,Quarter2,78.8,2.8,864.0
Sweatshirt,Quarter2,23.6,8.9,85.5
T-Shirt,Quarter1,79.5,6.1,458.7
T-Shirt,Quarter1,39.0,7.1,258.8
T-Shirt,Quarter2,44.3,0.1,354.1
T-Shirt,Quarter3,56.0,9.8,372.4
Gloves,Quarter3,99.6,2.5,789.3
Gloves,Quarter1,91.9,8.5,718.2
Sweatshirt,Quarter4,92.4,6.4,535.2
T-Shirt,Quarter1,52.2,5.2,355.0
Sweatshirt,Quarter2,67.2,2.7,333.3
Sweatshirt,Quarter4,56.9,2.1,282.4
Sweatshirt,Quarter2,55.7,7.0,208.8
Sweatshirt,Quarter1,73.7,3.3,365.2
Gloves,Quarter3,22.5,3.7,240.1
Sweatshirt,Quarter2,72.0,2.8,354.4
Gloves,Quarter1,28.8,5.0,273.0
Sweatshirt,Quarter2,40.1,1.4,156.2
T-Shirt,Quarter3,27.9,4.0,191.3
Sweatshirt,Quarter1,89.2,9.1,418.7
T-Shirt,Quarter3,61.4,9.3,472.6
T-Shirt,Quarter4,59.4,4.9,401.1
T-Shirt,Quarter4,19.8,8.0,142.4
Sweatshirt,Quarter1,41.7,1.1,164.6
Sweatshirt,Quarter1,78.5,3.1,546.4
T-Shirt,Quarter3,60.7,4.4,481.2
Sweatshirt,Quarter1,13.4,3.7,82.7
Sweatshirt,Quarter3,45.9,2.2,227.3
Sweatshirt,Quarter2,79.8,8.5,293.7
T-Shirt,Quarter2,55.3,4.0,489.7
Sweatshirt,Quarter1,95.4,1.7,666.1
Gloves,Quarter1,33.9,0.5,372.4
Gloves,Quarter1,93.9,4.2,930.6
T-Shirt,Quarter3,74.8,5.0,518.6
Sweatshirt,Quarter1,44.6,6.4,172.0
Sweatshirt,Quarter3,17.0,3.7,94.6
Gloves,Quarter3,77.6,4.5,616.3
Gloves,Quarter3,51.8,6.1,505.8
T-Shirt,Quarter2,71.0,9.5,407.0
Sweatshirt,Quarter4,29.9,1.4,206.5
Sweatshirt,Quarter3,19.4,0.8,115.6
T-Shirt,Quarter4,52.9,10.0,287.4
Sweatshirt,Quarter1,86.4,2.4,340.8
Sweatshirt,Quarter1,27.4,2.6,134.4
T-Shirt,Quarter1,38.1,8.9,210.8
Gloves,Quarter2,90.0,5.1,979.8
T-Shirt,Quarter4,28.0,6.6,161.4
Sweatshirt,Quarter1,29.7,4.2,144.3
T-Shirt,Quarter3,57.0,0.4,398.2
Gloves,Quarter2,49.3,0.6,441.9
T-Shirt,Quarter1,46.2,1.8,275.4
T-Shirt,Quarter2,34.0,5.4,261.2
Gloves,Quarter1,39.8,5.4,392.6
T-Shirt,Quarter1,80.9,7.7,470.0
T-Shirt,Quarter2,12.1,9.7,67.7
Sweatshirt,Quarter2,85.8,4.2,424.8
T-Shirt,Quarter4,53.5,9.7,345.4
